App,Participant,Condition,Block,Trial,A,W,Ae,dx,PT(ms),ST(ms),MT(ms),Errors,TRE,TAC,MDC,ODC,MV,ME,MO
FittsTaskTwo,P99,C01,B01,11,300.0,30.0,288.99816807914124,-7.806481480126962,640,78,718,0,0,0,2,1,9.84398062076452,15.752063592090442,15.623284537318295
FittsTaskTwo,P99,C01,B01,12,300.0,30.0,300.63628126669346,3.629547336299217,499,78,577,0,0,0,2,0,3.814807963909007,7.78283091733242,7.78283091733242
FittsTaskTwo,P99,C01,B01,0,300.0,60.0,292.27770966936066,-5.3159730592886705,530,47,577,0,0,0,2,1,10.675726271592177,15.29369726728247,15.29369726728247
FittsTaskTwo,P99,C01,B01,1,300.0,60.0,296.0,-2.0,421,94,515,0,0,1,2,1,7.745852241706805,10.666666666666602,8.70833333333326
FittsTaskTwo,P99,C01,B01,2,300.0,60.0,276.2625847638172,-21.331097964832185,655,109,764,0,0,0,0,1,2.711161182142194,2.8512990048995093,2.033693323611786
FittsTaskTwo,P99,C01,B01,3,300.0,60.0,302.2052692617913,5.198535331397034,546,109,655,0,0,0,2,1,9.99487236443825,21.59100112785857,21.476280741482707
FittsTaskTwo,P99,C01,B01,4,300.0,60.0,276.9666854008791,-19.837964158389077,422,93,515,0,0,0,2,0,4.417043041810639,7.077086555891469,6.977489141721421
FittsTaskTwo,P99,C01,B01,5,300.0,60.0,250.19990707001452,-47.43409636373295,437,78,515,1,0,0,2,1,5.596668121634318,9.582749756440013,9.582749756440013
FittsTaskTwo,P99,C01,B01,6,300.0,60.0,312.74113321010435,14.283431014299069,424,100,524,0,0,0,0,0,2.154951684761499,5.480219221451427,5.480219221451427
FittsTaskTwo,P99,C01,B01,7,300.0,60.0,282.7811186379403,-15.400034354665797,510,80,590,0,0,0,0,1,4.404586214229533,4.26214834484801,-1.7827056654463018
FittsTaskTwo,P99,C01,B01,8,300.0,60.0,287.50308039128737,-10.678072601318785,438,63,501,0,0,0,2,0,4.469897429527774,4.770079570127083,3.489270774382335
FittsTaskTwo,P99,C01,B01,9,300.0,60.0,279.3327141053481,-19.124988090457183,483,63,546,0,0,0,2,1,4.66706523225967,11.08501055700853,-11.08501055700853
FittsTaskTwo,P99,C01,B01,10,300.0,60.0,283.0153780421479,-14.618625391599547,546,93,639,0,0,2,1,0,4.998421069048691,4.6800710261323895,-1.359746843044498
FittsTaskTwo,P99,C01,B01,11,300.0,60.0,279.11624741396537,-17.688402145302785,624,78,702,0,0,0,1,1,2.5323698607797676,2.3795966921933487,-1.5798709493754992
FittsTaskTwo,P99,C01,B01,12,300.0,60.0,297.55890996300377,0.5521760326095075,484,78,562,0,0,0,1,0,4.820621151123544,7.255178043198543,7.18041852061528
FittsTaskTwo,P99,C01,B01,0,500.0,60.0,498.893637592749,2.4210804458307633,624,78,702,0,0,0,2,1,6.6837694748756835,7.499676023848204,7.030633650177321
FittsTaskTwo,P99,C01,B01,1,500.0,60.0,482.99999999999994,-13.00000000000003,577,109,686,0,0,0,2,1,12.427431201888247,11.183098591549383,-10.957746478873325
FittsTaskTwo,P99,C01,B01,2,500.0,60.0,459.6165421736975,-36.85601497322075,1077,109,1186,1,0,1,2,0,8.89222610276057,9.234649396025635,7.066163475702378
